Cluster ID,Cluster Name,Year,Count
2,Electrical_Power_Systems,1899,577
2,Electrical_Power_Systems,1900,456
2,Electrical_Power_Systems,1901,559
2,Electrical_Power_Systems,1902,822
2,Electrical_Power_Systems,1903,816
2,Electrical_Power_Systems,1904,926
2,Electrical_Power_Systems,1905,880
2,Electrical_Power_Systems,1906,620
2,Electrical_Power_Systems,1907,521
2,Electrical_Power_Systems,1908,508
2,Electrical_Power_Systems,1909,446
2,Electrical_Power_Systems,1910,446
2,Electrical_Power_Systems,1911,288
2,Electrical_Power_Systems,1912,331
2,Electrical_Power_Systems,1913,395
2,Electrical_Power_Systems,1914,232
2,Electrical_Power_Systems,1915,408
2,Electrical_Power_Systems,1916,178
2,Electrical_Power_Systems,1917,280
2,Electrical_Power_Systems,1918,222
2,Electrical_Power_Systems,1919,106
2,Electrical_Power_Systems,1920,431
2,Electrical_Power_Systems,1921,379
2,Electrical_Power_Systems,1922,259
2,Electrical_Power_Systems,1923,600
2,Electrical_Power_Systems,1924,506
2,Electrical_Power_Systems,1925,445
2,Electrical_Power_Systems,1926,478
2,Electrical_Power_Systems,1927,525
2,Electrical_Power_Systems,1928,564
2,Electrical_Power_Systems,1929,844
2,Electrical_Power_Systems,1930,501
2,Electrical_Power_Systems,1931,751
2,Electrical_Power_Systems,1932,778
2,Electrical_Power_Systems,1933,794
2,Electrical_Power_Systems,1934,1245
2,Electrical_Power_Systems,1935,1071
2,Electrical_Power_Systems,1936,1115
2,Electrical_Power_Systems,1937,1096
2,Electrical_Power_Systems,1938,940
2,Electrical_Power_Systems,1939,696
2,Electrical_Power_Systems,1940,711
2,Electrical_Power_Systems,1941,384
2,Electrical_Power_Systems,1942,206
2,Electrical_Power_Systems,1943,232
2,Electrical_Power_Systems,1944,190
2,Electrical_Power_Systems,1945,189
2,Electrical_Power_Systems,1946,271
2,Electrical_Power_Systems,1947,345
2,Electrical_Power_Systems,1948,872
2,Electrical_Power_Systems,1949,907
2,Electrical_Power_Systems,1950,441
2,Electrical_Power_Systems,1951,715
2,Electrical_Power_Systems,1952,1069
2,Electrical_Power_Systems,1953,876
2,Electrical_Power_Systems,1954,995
2,Electrical_Power_Systems,1955,1358
2,Electrical_Power_Systems,1956,1057
2,Electrical_Power_Systems,1957,755
2,Electrical_Power_Systems,1958,695
2,Electrical_Power_Systems,1959,1155
2,Electrical_Power_Systems,1960,1480
2,Electrical_Power_Systems,1961,916
2,Electrical_Power_Systems,1962,838
2,Electrical_Power_Systems,1963,1297
2,Electrical_Power_Systems,1964,1819
2,Electrical_Power_Systems,1965,1584
2,Electrical_Power_Systems,1966,1503
2,Electrical_Power_Systems,1967,1507
2,Electrical_Power_Systems,1968,1499
2,Electrical_Power_Systems,1969,1594
2,Electrical_Power_Systems,1970,1998
2,Electrical_Power_Systems,1971,1988
2,Electrical_Power_Systems,1972,2493
2,Electrical_Power_Systems,1973,1859
2,Electrical_Power_Systems,1974,2309
2,Electrical_Power_Systems,1975,3205
2,Electrical_Power_Systems,1976,7180
2,Electrical_Power_Systems,1977,5974
2,Electrical_Power_Systems,1978,5669
2,Electrical_Power_Systems,1979,4909
2,Electrical_Power_Systems,1980,7638
